Temparature,Humidity,Moisture,Soil Type,Crop Type,Nitrogen,Potassium,Phosphorous,Fertilizer Name
36,52,50,Loamy,Wheat,44,4,21,Urea
29,53,31,Black,Oil seeds,22,0,5,Urea
32,60,62,Loamy,Sugarcane,14,12,36,14-35-14
27,60,45,Sandy,Maize,21,5,31,Urea
33,53,47,Clayey,Paddy,29,14,16,Urea
28,59,41,Sandy,Millets,23,0,3,20-20
23,58,23,Clayey,Pulses,13,24,23,10-26-26
30,60,36,Sandy,Millets,36,0,0,Urea
34,55,32,Sandy,Millets,21,0,24,Urea
33,51,40,Red,Ground Nuts,52,5,28,DAP
28,52,25,Red,Ground Nuts,45,4,27,Urea
31,55,36,Clayey,Pulses,16,0,16,DAP
31,52,63,Red,Cotton,16,18,12,17-17-17
34,64,63,Loamy,Cotton,11,6,16,DAP
31,65,42,Sandy,Barley,18,0,35,DAP
31,49,43,Loamy,Sugarcane,22,1,14,Urea
30,65,51,Loamy,Wheat,17,16,34,14-35-14
31,64,36,Red,Ground Nuts,24,2,16,DAP
35,52,36,Clayey,Pulses,32,21,19,DAP
27,56,43,Sandy,Barley,13,12,32,14-35-14
28,55,41,Loamy,Sugarcane,24,5,13,Urea
27,54,39,Black,Millets,31,0,19,Urea
31,59,35,Red,Tobacco,26,15,26,28-28
28,55,42,Black,Sugarcane,10,29,30,10-26-26
33,61,37,Red,Tobacco,22,0,0,28-28
30,56,51,Sandy,Barley,8,25,26,10-26-26
25,57,39,Sandy,Millets,20,0,2,20-20
33,67,40,Sandy,Barley,10,10,31,28-28
34,68,47,Clayey,Paddy,21,4,16,Urea
23,55,31,Clayey,Pulses,7,23,21,10-26-26
31,62,61,Loamy,Cotton,2,0,47,DAP
30,54,48,Black,Sugarcane,27,0,7,20-20
28,52,35,Black,Millets,22,0,32,28-28
20,66,36,Sandy,Barley,15,13,29,28-28
27,60,32,Red,Ground Nuts,29,5,36,28-28
28,62,37,Sandy,Barley,17,6,36,DAP
34,54,23,Sandy,Maize,33,13,19,28-28
32,64,68,Red,Cotton,27,6,16,DAP
29,65,61,Black,Sugarcane,16,20,12,17-17-17
28,62,31,Black,Oil seeds,11,12,34,14-35-14
36,60,34,Black,Oil seeds,11,13,34,14-35-14
35,60,35,Clayey,Paddy,27,13,0,Urea
27,50,64,Red,Cotton,14,17,31,14-35-14
33,67,49,Black,Sugarcane,15,20,22,17-17-17
33,63,64,Red,Cotton,12,12,32,14-35-14
32,64,41,Clayey,Pulses,21,8,13,Urea
32,53,30,Clayey,Pulses,28,2,4,20-20
29,41,44,Sandy,Barley,8,5,26,28-28
23,55,34,Black,Oil seeds,10,5,0,20-20
25,64,37,Clayey,Paddy,25,0,4,28-28
28,62,46,Black,Sugarcane,16,17,36,14-35-14
34,62,45,Loamy,Wheat,10,24,23,10-26-26
36,54,39,Sandy,Barley,16,0,16,DAP
26,55,39,Clayey,Pulses,44,4,10,Urea
34,54,63,Red,Cotton,21,0,10,Urea
31,61,43,Clayey,Paddy,9,9,26,20-20
26,59,38,Clayey,Pulses,15,11,40,14-35-14
31,52,46,Loamy,Wheat,21,2,0,Urea
28,57,66,Black,Cotton,24,1,24,Urea
32,54,63,Loamy,Cotton,0,7,27,28-28
31,58,50,Loamy,Sugarcane,11,25,26,10-26-26
30,64,62,Black,Cotton,25,9,16,DAP
20,52,40,Clayey,Pulses,25,12,21,Urea
33,67,55,Black,Sugarcane,19,17,13,17-17-17
27,57,56,Sandy,Maize,15,17,38,14-35-14
25,69,59,Loamy,Sugarcane,11,12,32,14-35-14
32,61,41,Clayey,Paddy,34,0,4,28-28
33,59,44,Clayey,Paddy,20,2,10,28-28
35,53,50,Loamy,Wheat,13,24,21,10-26-26
33,64,36,Clayey,Pulses,21,17,34,Urea
31,62,23,Red,Ground Nuts,29,5,52,DAP
28,57,30,Clayey,Pulses,7,14,33,28-28
30,62,64,Red,Cotton,27,10,25,Urea
27,75,34,Black,Oil seeds,29,0,0,20-20
23,66,30,Red,Ground Nuts,41,3,20,DAP
27,58,65,Black,Cotton,2,7,16,DAP
25,57,41,Clayey,Paddy,32,15,6,28-28
33,58,36,Sandy,Millets,21,1,34,28-28
32,59,31,Red,Tobacco,19,15,32,28-28
32,55,58,Black,Sugarcane,14,0,5,20-20
33,52,35,Clayey,Pulses,7,29,30,10-26-26
29,49,33,Clayey,Pulses,24,0,16,DAP
29,60,62,Red,Cotton,13,0,24,DAP
26,58,33,Clayey,Pulses,23,8,37,20-20
34,57,62,Black,Sugarcane,8,5,0,20-20
32,44,28,Clayey,Pulses,13,26,30,10-26-26
33,60,34,Red,Tobacco,11,26,26,10-26-26
26,63,31,Red,Tobacco,11,27,24,10-26-26
28,61,29,Clayey,Pulses,21,0,33,Urea
31,59,31,Red,Tobacco,40,0,5,28-28
28,57,38,Sandy,Maize,18,17,12,17-17-17
28,49,62,Black,Sugarcane,26,1,32,DAP
27,61,47,Black,Sugarcane,12,11,34,14-35-14
32,55,31,Sandy,Millets,16,0,27,20-20
38,65,34,Black,Oil seeds,33,1,26,DAP
43,67,49,Loamy,Wheat,29,12,1,Urea
34,62,63,Black,Cotton,17,16,33,14-35-14
28,56,43,Sandy,Millets,32,0,23,20-20
29,60,42,Sandy,Millets,21,0,2,Urea
34,55,49,Loamy,Wheat,14,11,30,14-35-14
32,63,34,Loamy,Sugarcane,12,11,37,14-35-14
25,74,61,Loamy,Cotton,27,0,38,28-28
33,62,45,Clayey,Paddy,22,11,14,20-20
28,53,45,Loamy,Sugarcane,16,19,13,17-17-17
27,71,32,Black,Oil seeds,21,0,16,DAP
30,83,48,Loamy,Wheat,7,12,21,20-20
23,55,27,Red,Ground Nuts,0,0,24,28-28
27,62,64,Black,Cotton,15,20,19,17-17-17
31,57,63,Red,Cotton,8,3,30,DAP
28,52,65,Loamy,Cotton,17,7,16,DAP
32,56,37,Sandy,Millets,24,0,31,20-20
28,73,32,Black,Oil seeds,0,10,23,20-20
29,69,49,Loamy,Wheat,26,0,0,Urea
34,61,28,Black,Oil seeds,21,6,6,Urea
28,44,32,Loamy,Sugarcane,29,0,12,Urea
30,57,50,Loamy,Sugarcane,21,7,39,Urea
29,65,31,Red,Tobacco,0,0,0,20-20
30,63,33,Black,Millets,23,0,19,28-28
33,55,47,Sandy,Millets,23,0,30,20-20
32,56,41,Clayey,Paddy,19,14,17,17-17-17
28,61,50,Loamy,Wheat,44,12,17,Urea
31,74,40,Clayey,Paddy,11,19,0,20-20
35,64,47,Clayey,Paddy,21,1,13,Urea
32,68,55,Loamy,Wheat,19,4,9,20-20
28,61,40,Sandy,Millets,21,2,0,Urea
29,59,59,Loamy,Sugarcane,16,14,19,17-17-17
32,59,39,Black,Millets,22,0,2,Urea
28,58,42,Clayey,Paddy,16,7,23,20-20
32,54,34,Black,Millets,22,0,8,20-20
29,59,45,Clayey,Paddy,14,14,20,17-17-17
35,55,42,Black,Millets,26,1,0,20-20
30,46,28,Black,Oil seeds,34,0,10,Urea
29,63,38,Loamy,Sugarcane,6,10,20,20-20
37,59,54,Loamy,Wheat,21,0,32,Urea
30,61,34,Red,Tobacco,15,16,40,14-35-14
29,62,41,Clayey,Pulses,28,10,21,28-28
27,52,64,Black,Cotton,18,6,34,20-20
30,62,62,Red,Cotton,20,0,34,DAP
28,53,65,Black,Sugarcane,25,16,25,20-20
28,58,64,Loamy,Cotton,12,7,29,20-20
31,61,38,Sandy,Barley,15,1,25,DAP
30,52,39,Clayey,Paddy,8,28,24,10-26-26
28,53,27,Red,Ground Nuts,37,7,34,DAP
23,65,34,Red,Ground Nuts,31,0,28,DAP
32,62,36,Black,Sugarcane,5,2,8,20-20
27,58,33,Sandy,Millets,22,0,30,28-28
31,60,52,Loamy,Wheat,21,6,29,Urea
33,66,30,Red,Tobacco,9,23,21,10-26-26
27,67,48,Clayey,Paddy,33,4,36,28-28
29,51,30,Clayey,Pulses,18,0,25,DAP
27,63,46,Loamy,Sugarcane,20,9,32,20-20
33,54,54,Loamy,Sugarcane,17,6,24,20-20
34,61,35,Black,Oil seeds,14,15,33,14-35-14
27,58,63,Red,Cotton,14,19,20,17-17-17
30,58,62,Red,Cotton,28,2,19,DAP
27,64,28,Loamy,Sugarcane,21,14,12,Urea
35,60,34,Red,Tobacco,4,1,31,28-28
32,61,33,Red,Tobacco,13,9,26,DAP
28,58,43,Clayey,Pulses,30,27,30,28-28
33,53,31,Red,Ground Nuts,21,1,33,Urea
33,59,62,Red,Cotton,29,0,35,DAP
34,65,32,Red,Tobacco,9,25,26,10-26-26
26,55,33,Clayey,Pulses,15,0,24,20-20
36,74,52,Loamy,Wheat,21,4,11,Urea
27,60,64,Black,Cotton,25,2,12,Urea
33,55,32,Sandy,Maize,12,12,33,14-35-14
26,60,63,Loamy,Cotton,21,2,26,Urea
28,59,30,Black,Oil seeds,28,0,13,Urea
31,71,29,Red,Ground Nuts,22,2,29,DAP
28,51,34,Sandy,Barley,8,9,15,28-28
30,50,40,Clayey,Paddy,26,0,28,DAP
29,65,36,Red,Tobacco,10,25,27,10-26-26
31,60,35,Black,Oil seeds,11,15,36,14-35-14
38,64,33,Red,Tobacco,25,11,40,28-28
29,51,47,Sandy,Maize,11,4,20,28-28
30,60,31,Black,Oil seeds,35,1,12,Urea
28,46,37,Clayey,Pulses,42,15,26,20-20
29,62,52,Loamy,Wheat,17,14,37,14-35-14
21,63,38,Clayey,Pulses,0,12,16,DAP
33,43,31,Black,Oil seeds,35,0,18,20-20
35,65,65,Black,Cotton,24,4,28,Urea
27,58,64,Red,Cotton,15,14,12,17-17-17
36,64,36,Sandy,Barley,19,16,16,17-17-17
33,49,30,Black,Oil seeds,34,1,23,20-20
29,59,35,Sandy,Millets,24,0,10,20-20
32,52,60,Loamy,Cotton,21,2,47,Urea
33,53,44,Clayey,Paddy,9,25,28,10-26-26
29,55,42,Red,Ground Nuts,37,5,8,Urea
37,53,52,Loamy,Wheat,14,16,31,14-35-14
31,52,63,Red,Cotton,17,17,32,14-35-14
33,62,63,Black,Cotton,10,5,16,DAP
25,63,45,Red,Ground Nuts,24,4,20,DAP
30,55,36,Sandy,Millets,23,2,34,28-28
36,56,36,Sandy,Millets,21,1,35,Urea
33,57,42,Black,Millets,12,17,38,14-35-14
28,52,42,Sandy,Millets,39,0,4,Urea
28,55,43,Sandy,Millets,22,0,44,20-20
33,64,36,Black,Oil seeds,21,2,15,Urea
36,61,28,Black,Oil seeds,0,2,44,DAP
24,68,31,Red,Ground Nuts,17,16,38,14-35-14
32,58,67,Loamy,Cotton,7,3,24,DAP
30,57,31,Sandy,Millets,23,0,0,20-20
31,59,30,Sandy,Millets,21,0,44,Urea
30,55,57,Black,Sugarcane,16,0,12,20-20
33,71,35,Red,Tobacco,10,23,28,10-26-26
30,51,29,Black,Oil seeds,12,12,30,14-35-14
29,59,38,Sandy,Millets,21,1,21,Urea
28,55,42,Black,Millets,29,0,21,28-28
37,63,53,Loamy,Wheat,26,5,23,DAP
33,76,40,Clayey,Paddy,22,0,10,Urea
31,57,30,Red,Tobacco,12,25,29,10-26-26
25,62,33,Clayey,Pulses,11,10,15,20-20
32,56,51,Loamy,Wheat,10,29,24,10-26-26
34,63,44,Clayey,Paddy,13,11,38,14-35-14
30,59,33,Red,Tobacco,18,8,16,DAP
36,71,38,Clayey,Paddy,17,15,17,DAP
35,57,59,Black,Sugarcane,21,0,15,Urea
29,54,32,Black,Oil seeds,12,13,38,14-35-14
33,62,41,Clayey,Paddy,14,11,13,28-28
31,71,31,Black,Oil seeds,14,12,34,14-35-14
29,56,29,Clayey,Pulses,9,24,21,10-26-26
30,54,33,Clayey,Pulses,16,4,16,DAP
30,46,50,Loamy,Sugarcane,20,19,14,17-17-17
33,52,48,Loamy,Wheat,23,5,9,Urea
26,66,26,Sandy,Maize,6,17,23,DAP
31,55,40,Clayey,Paddy,6,6,0,28-28
27,62,40,Clayey,Paddy,17,15,30,14-35-14
27,51,29,Clayey,Pulses,1,0,0,20-20
26,70,62,Red,Cotton,20,7,33,DAP
25,74,60,Black,Cotton,5,0,16,DAP
28,49,26,Black,Oil seeds,21,0,12,Urea
30,56,34,Sandy,Millets,32,1,15,Urea
26,55,40,Black,Sugarcane,14,18,16,17-17-17
33,63,35,Red,Tobacco,11,28,24,10-26-26
25,60,41,Clayey,Paddy,12,3,49,DAP
34,48,62,Red,Cotton,27,0,15,Urea
33,56,31,Black,Oil seeds,8,0,16,DAP
25,61,64,Loamy,Cotton,35,5,16,DAP
34,65,42,Clayey,Paddy,16,12,30,14-35-14
33,67,39,Clayey,Paddy,24,2,2,Urea
30,70,49,Loamy,Wheat,21,4,0,Urea
35,62,37,Sandy,Millets,19,0,21,28-28
31,63,39,Sandy,Millets,14,19,21,17-17-17
29,47,27,Clayey,Pulses,7,0,6,20-20
31,50,31,Black,Oil seeds,14,15,39,14-35-14
32,64,50,Loamy,Wheat,23,0,16,DAP
28,58,42,Sandy,Barley,16,15,31,14-35-14
34,64,43,Clayey,Paddy,20,11,20,20-20
32,63,39,Clayey,Paddy,11,29,21,10-26-26
24,50,23,Clayey,Pulses,21,0,13,Urea
33,61,52,Loamy,Wheat,14,17,40,14-35-14
28,52,57,Loamy,Sugarcane,19,15,21,17-17-17
28,50,42,Clayey,Pulses,11,11,36,14-35-14
32,54,44,Sandy,Barley,16,11,32,14-35-14
30,68,48,Loamy,Wheat,28,2,24,DAP
29,54,43,Black,Millets,21,0,20,Urea
33,58,33,Sandy,Maize,22,28,17,28-28
39,52,50,Loamy,Wheat,13,17,30,14-35-14
27,55,33,Black,Oil seeds,38,4,34,Urea
30,47,33,Clayey,Pulses,22,0,16,DAP
31,58,34,Clayey,Pulses,21,0,4,Urea
24,54,64,Loamy,Sugarcane,15,18,0,20-20
31,57,43,Loamy,Sugarcane,35,9,31,DAP
34,54,54,Loamy,Sugarcane,0,6,16,DAP
33,69,35,Red,Tobacco,16,12,19,28-28
30,59,38,Sandy,Millets,22,1,35,Urea
29,71,44,Sandy,Barley,33,0,13,28-28
34,51,38,Clayey,Pulses,33,0,26,20-20
30,56,35,Clayey,Pulses,11,23,21,10-26-26
29,59,50,Loamy,Wheat,10,29,23,10-26-26
35,52,48,Loamy,Wheat,36,10,0,20-20
31,66,62,Black,Cotton,26,1,16,DAP
35,59,38,Clayey,Paddy,7,16,22,28-28
33,58,62,Black,Cotton,21,0,44,Urea
29,70,29,Red,Ground Nuts,15,4,19,28-28
30,72,50,Loamy,Wheat,29,0,11,28-28
28,67,38,Sandy,Barley,11,12,38,14-35-14
24,62,42,Clayey,Paddy,21,4,20,Urea
26,49,48,Clayey,Pulses,10,0,19,DAP
29,66,64,Red,Cotton,23,12,0,28-28
37,67,48,Loamy,Wheat,25,3,8,Urea
35,59,30,Red,Ground Nuts,21,0,28,Urea
30,56,31,Sandy,Maize,15,16,39,14-35-14
38,62,42,Clayey,Paddy,16,0,8,28-28
30,59,65,Black,Cotton,17,15,32,14-35-14
29,55,30,Sandy,Maize,41,9,22,28-28
29,57,58,Loamy,Sugarcane,16,13,30,14-35-14
24,56,34,Clayey,Pulses,21,0,5,Urea
28,67,50,Loamy,Sugarcane,20,20,21,17-17-17
32,55,49,Loamy,Sugarcane,14,19,22,17-17-17
34,49,30,Black,Oil seeds,21,3,29,Urea
26,57,31,Sandy,Millets,30,2,20,Urea
32,51,41,Black,Sugarcane,18,4,16,DAP
30,64,32,Red,Tobacco,35,0,19,Urea
32,63,53,Sandy,Barley,9,1,23,DAP
30,66,62,Loamy,Cotton,27,3,32,DAP
